nameOfAuthor,listOfAuthors,studentPublication,title,typeOfPublication,nameOfPublicationPlatform,scopus,wos,publicationDetails,year,month,academicYear,url,doi,identificationNumber,indexing,noOfCitations,abstract,keywords,specialization,status,link,dateOfPublication,Unnamed: 23,Unnamed: 24,Unnamed: 25
Dr D Kalyani,"Srivani Kalyani, Pradeep",,Secured Information Sharing in SCM: parametric Analysis on Improved BSO,Conference,"4th International Conference on Innovative Data Communication Technologies and Application, ICIDCA 3-4 November 2022. Coimbatore, India",No,No,,2022.0,November,2022-23,,,,,0.0,,,,,,2022-11-01,,,
Dr D Kalyani,"P Kalyani, C Chellappan",,Enhanced RSACRT for energy efficient authentication to wireless sensor networks security,journal,American Journal of Applied Sciences,No,No,"Volume:9,Issue:10,Pages:1660,Publisher:Science Publications",2012.0,october,2012-13,https://scholar.google.com/scholar?cluster=16790381405188727669&hl=en&oi=scholarr,,,,7.0,The Security in WSN has become a challenge because of its inherent limitations of resources imposed on the sensor nodes. Authentication and key management scheme allows WSNs to be used with confidence and maintains integrity of data in sensor networks.,"security, wsn, authentication, key management, sensor nodes, limited resources, integrity, data, public key, energy, decryption, verification, computation, performance",,,,2012-10-01,,,
Dr D Kalyani,Dr. Kalyani Kodam Akhil,,Next Generation Internet Voting System using Blockchain,Journal,International Journal of Special Education,No,No,"Volume 37,Issue 3,Pages 18107 - 18113",2022.0,November,2022-23,,,,,0.0,,,,,,2022-11-01,,,
Dr D Kalyani,"Siva Santosh Kumar Daroga, D Kalyani",,Elliptical Curve Scalar Multiplication over Pipelined Architecture-GF (2m).,Journal,Grenze International Journal of Engineering & Technology (GIJET),No,No,"Volume 7,Issue 1",2021.0,January,2021-22,Elliptical Curve Scalar Multiplication over Pipelined Architecture - GF(2m). | Grenze International Journal of Engineering & Technology (GIJET) | EBSCOhost,,ISSN 2395-5287,openurl.ebsco,0.0,"An attempt to propose a novel scheme for multiplications through finite field inclusive of Elliptic Curve computations. A serial finite field multiplier i.e., consider the word length w, for the scalar multiplication is subjected to Implementation, performing a scalar computation in clock cycles with corresponding gate delays within the critical path. The designing and operation characteristics of this mechanism is explained thoroughly. Elliptic curve scalar multiplication operations commonly correspond to finite field (FF) executions i.e., addition, multiplication, subtraction, and inversion. By breaking down the addition and doubling operations into FF operations we obtain the parallel and pipelined scalar multiplication resulting in finite field subtraction, squaring, addition, inversion, and multiplication operations, respectively. The proposed scheme refers to one such mechanism of elliptical curve scalar multiplications over finite field.","multiplications, finite field, elliptic curve, scheme, serial, implementation, scalar multiplication, clock cycles, gate delays, designing, operation characteristics, addition, subtraction, inversion, parallel",,,,2021-01-01,,,
Dr D Kalyani,"G Ramesh D. V. Lalitha Parameswari, Ch Mallikarjuna Rao, D. Kalyani",,Mining images of high spatial resolution in agricultural environments,Journal,Applied Nanoscience,Yes,Yes,"volume:11,issue:7",2021.0,july,2021-22,Mining images of high spatial resolution in agricultural environments | Applied Nanoscience (springer.com),,,link.springer,6.0,"Satellites are widely used for remote sensing applications. High resolution images are used for different geographical applications. Using geographical objects or spatial objects for analysis became prevalent in the contemporary era. Many supervised classification techniques came into existence to have efficient classification of high-resolution imagery. There are many factors that may affect classification of geographic images. They include the presence of mixed objects, feature selection, size of training set and segmentation scale. When these factors are considered for a systematic mining of images with high resolution, it results in improved performance. Especially in agricultural environments, it is essential to have such study to ascertain which supervised learning mechanism can best deal with the factors aforementioned. An algorithm named Feature Subset Selection (FSS) is defined to enhance classification accuracy. Different classification techniques such as Support Vector Machine (SVM), Random Forest (RF), Naïve Bayes, k-Nearest Neighbour (KNN), Adaboost.M1 and Decision Table (DT) are used for the empirical study with spatial data mining. Useful analysis of the techniques is made and thus this paper provides valuable insights on mining images of high spatial resolution in agricultural environments.","Spatial data mining,Classification,SVM,RF,KNN,DT.Adaboost.M1",,,,2021-07-01,,,
Dr D Kalyani,"Kalyani Chadha, Sangeet Kumar, Radhika Parameswaran",,"Introduction to the Special Issue Forum Digital Cultures of South Asia: Inequalities, Informatization, Infrastructures",Journal,"Communication, Culture and Critique",No,No,"Volume 14,Issue 3,Pages 487-490,Publisher Oxford University Press",2021.0,September,2021-22,"Introduction to the Special Issue Forum Digital Cultures of South Asia: Inequalities, Informatization, Infrastructures | Communication, Culture and Critique | Oxford Academic (oup.com)",https://doi.org/10.1093/ccc/tcab042,,academic.oup,2.0,"This short introductory essay first lays out the broader map of the digital media ecosystem in South Asia and then establishes the importance of this region in the global south--with its growing networked population--for understanding the future trajectories of global digital culture. Just as any other part of the world that is gradually getting on board the digital bandwagon, the South Asian digital landscape shows signs of both ingenuity, innovation and progressive potential as well as unchecked power, surveillance and exploitation. Our introduction uses the framework of digital culture's promises and its challenges to organize the collection of essays in this special forum.","digital media, south asia, global south, networked population, digital culture, ecosystem, ingenuity, innovation, progressive potential, power, surveillance, exploitation, framework, special forum, trajectories",,,,2021-09-01,,,
Dr D Kalyani,"Dasari Kalyani, S Pradeep, Putta Srivani",,Secured information sharing in SCM: Parametric Analysis on Improved Beetle Swarm Optimization,Journal,Procedia Computer Science,No,No,"Volume 215,Pages 897-908,Publisher Elsevier",2022.0,January,2022-23,Secured information sharing in SCM: Parametric Analysis on Improved Beetle Swarm Optimization - ScienceDirect,https://doi.org/10.1016/j.procs.2022.12.092,,sciencedirect,1.0,"Today, with the progression in ICT, information sharing (IS) has turned outto be more possible. IS in supply chains (SC) has grown up more proficient by the global preamble of long-term coordination and cooperation that leads to enhancement of aggressive advantages of companies. However, lack of IS in companies results in incompetence of coordinating activities in organizations. Here, this work aims to enhance the security and privacy of the proposed block-chain-aided SCM, wherein the modified Data Sanitization and Data Restoration is done with an optimal key creation procedure to protect the receptive data in every block. Here, the optimal key is chosen via Sine Map estimation-based BSO (SME-BSO) algorithm. Finally, parametric analysis varies ra2 from 0-1, 0.2, 0.4, 0.6 and 0.8.","Supply chain,Block Chain,Data Sanitization,SME-BSO Model,Key Generation",,,,2022-01-01,,,
Dr D Kalyani,"P Kalyani, C Chellappan",,Analysis of security and key management schemes for authenticated broadcast in heterogeneous wireless sensor networks,Book,International Conference on High Performance Architecture and Grid Computing,No,No,"Pages 580-587,Publisher Springer Berlin Heidelberg",2011.0,july,2011-12,Analysis of Security and Key Management Schemes for Authenticated Broadcast in Heterogeneous Wireless Sensor Networks | SpringerLink,https://doi.org/10.1007/978-3-642-22577-2_77,"ISBN(P) 978-3-642-22576-5,ISBN(O) 978-3-642-22577-2",link.springer,1.0,"The security in wireless sensor networks (WSN) is a critical issue due to the inherent limitations of computational capacity, storage capacity and power usage. Packets are dropped or discarded completely, or selectively forwarded by an anonymous party. Also the network is flooded with global suspicious broadcasts. These kinds of attacks may be avoided when using multi path and authenticated broadcasts, which has to be facilitated by the underlying key management architecture. Key management only makes sure the communicating nodes possess the necessary keys, at the same time providing the confidentiality, integrity and authenticity of the communicated data. The proposed work, made an effort to survey the well-known security issues in WSNs and study the various asymmetric key or public key algorithms which are used for key distribution as well as encryption/decryption in sensor network for authenticated message broad cast. Based on the analysis, proposed a new method which will improves the performance of an existing RSA algorithm by using Chinese Remainder Theorem (CRT) algorithm for decryption phase. Also it offers countermeasures for the attacks in the network layer of WSN.","Wireless Sensor Network,Security,key management,Cryptography",,,,2011-07-19,,,
Dr D Kalyani,"D Kalyani, P Vijay",,STUDY OF CRYPTOLOGY AND ITS FORMS IN TODAY'S SECURE WORLD.,Journal,International Journal of Advanced Research in Computer Science,No,No,"Volume 8,Issue 9",2017.0,November,2017-18,STUDY OF CRYPTOLOGY AND ITS FORMS IN TODAY'S SECURE WORLD. | International Journal of Advanced Research in Computer Science | EBSCOhost,10.26483/ijarcs.v8i9.4975,ISSN 0976-5697,openurl.ebsco,2.0,"Nowadays every communication and data exchange has been digitized. So everyone thinks about privacy and security. In this paper, we are highlighting the need for security in daily data transmissions and the role of cryptography in order to handle demands of today's secure world. We study various cryptographic techniques that can be used and applied to our needs. This also initiates the comparison of security level with the other methodologies. There are different cryptographic methodologies available to perform uniquely specified tasks like-encryption, decryption, key agreement and digital signatures. In this paper, we review the study of different encryption schemes and its usage along with different key management techniques and the application of digital signature with its complete operational principle that is used in daily life as a part of secure communication.","communication, data exchange, digitized, privacy, security, cryptography, data transmissions, cryptographic techniques, encryption, decryption, key agreement, digital signatures, encryption schemes, key management techniques, secure communication",,,,2017-11-01,,,
Dr D Kalyani,"Harish Kundra, Sudhir Sharma, P Nancy, Dasari Kalyani",,A two level ensemble classification approach to forecast bitcoin prices,Journal,Kybernetes,No,No,in press Publisher Emerald Publishing Limited,2022.0,July,2022-23,https://www.emerald.com/insight/content/doi/10.1108/K-11-2021-1213/full/html,https://doi.org/10.1108/K-11-2021-1213,0368-492X,emerald,0.0,Approach," bitcoin,Price prediction Proposed second order technical indicator(SOTI),M-EMA,BWURO
",,,,2022-07-01,,,
Dr D Kalyani,"PULIDHINDI KALYANI, CH VIJAYA KRISHNA",,Towards A Robust Key Aggregate Crypto System for Scalable Data Sharing in Cloud Storage,,,No,No,,2015.0,December,2015-16,653421IJSETR8329-2040.pdf,,,ijsetr,0.0,"Now a days cloud computing is an emerging computing technology in this computing world. Cloud computing provides integration of several servers, storage space as a single entity provides interconnection of several physical computing resources as single entity the customers can use on pay per use method. The cloud computing uses virtualization technology to increase the computing resources with minimum resources we can implement work efficiently. Different layers in this architecture so that users can use all the resource in cloud as a service model.In this environment cloud storage service is one of the most popular in present world. Data sharing is an important functionality in cloud storage the data placed by user may be shared and accessed by many users in such a case the data sharing must be secure, flexible and efficient with other cloud computing overlap many existing concepts such as a distributed systems. Data security is a challenging issue in cloud computing paradigm user to store sensitive information on cloud servers. Data confidentiality cloud server is required, when users outsource data storage in cloud. Existing solutions generally use cryptographic solutions like encryption and decryption. Cloud data storage is the data integrity verification at untrusted server. To preserve data privacy, is a basic solution to encrypt data files, and then upload the encrypted data into the cloud. For this it is proposed a public key cryptosystem for storing and accessing for data in cloud. In existing system cryptosystem produce the constant size cipher text. Now system proposes to introduce variable size cryptosystem supported with a set of secret keys as a single key and the process use the power of all the keys by using this aggregate key we encrypt the files and storing in cloud. This key is positive to others who shares the data. By using this key others can share data in secured way.","Cloud Computing, Virtualization, Cloud Storage, Cryptosystem, Encryption, Decryption, Aggregate Key. ",,,,2015-12-01,,,
Saritha Vemulapalli,"Saritha Vemulapalli, Shashi Mogalla",No,High Utility-Occupancy Sequential Pattern Mining Algorithm Based On Utility-Occupancy Framework,International Journal,International Journal of Engineering Trends and Technology,Yes,No,"Volume 69 Issue 4, pp: 228-235, April 2021",2021.0,April,2020-21,http://ijettjournal.org/Volume-69/Issue-4/IJETT-V69I4P231.pdf,10.14445/22315381/IJETT-V69I4P231,2231  5381,Scopus,0.0,In the WSN limited resource scenario the generation of public key done and are randomly pre distributed while deploying the sensor nodes. Since the sensor nodes are limited by energy it needs to concentrate on fast decryption and verification of message. In order to enable the fast decryption we have proposed a novel method which uses three algorithms hybrid to achieve the increase in decryption speed which in turn reduces the energy used for computation and enhances its performance compared with the existing authentication using classical RSA algorithm.,"Data mining, Pattern discovery, PatternGrowth, Utility-Occupancy, Variant sequential patterns",,,,2021-04-01,,,
Saritha Vemulapalli,"Saritha Vemulapalli, Shashi Mogalla",No,Pre-Order Post-Order Coded Aggregate Tree based Algorithm for Mining Sequential Patterns,International Journal,International Journal of Engineering and Advanced Technology (IJEAT),yes,No,"Volume 9 Issue 1, pp: 7594 - 7600, Oct 2019",2019.0,Oct,2019-20,https://www.ijeat.org/wp-content/uploads/papers/v9i1/A2030109119.pdf,10.35940/ijeat.A2030.109119,2249  8958,Scopus,0.0,"Sequential pattern mining is a data mining approach; aims to discover common interesting patterns in sequence datasets, which attracted a significant research interest due to its real world applications in various fields such as web click stream mining, retail business, stock market and bio-informatics. Each sequence in sequence dataset is composed of time ordered events and each event is an item set. It discovers all frequent subsequences having frequency greater than the given minimum support threshold. Discovering sequential patterns is expensive with respect to mining time as well as the amount of memory used, because of aggressive search space growth due to generation of explosive number of frequent subsequences with the sequence length as well as count of distinct items and large volume of sequence dataset. So, research in this domain aims at developing effective data structures which address frequency counting and large search space as well as scalable algorithms to reduce the execution time and the amount of memory utilized. We propose two efficient data structures called Pre-order Post-order Coded Aggregate Tree (PPCA-Tree) for compact representation of the sequence dataset and Root-node List of First-Occurrence Sub Trees Map (RLFOST-Map) for efficient representation of projected databases. We also developed an efficient Partially ordered Sequential PAttern Mining algorithm called PSPAM and Parallel implementation of Partially ordered Sequential PAttern Mining algorithm called PAPSPAM based on PPCA-Tree using RLFOST-Map which eliminates reconstruction of the projecteddatabases. Experimental analysis done on various synthetic datasets proves that our algorithms PSPAM and PAPSPAM outperform prefixspan and other conventional & state-of-the-art algorithms over dense datasets with better scalability.","Data mining, Pattern-growth, Sequential patterns,
WAP-Tree",,,,2019-08-02,,,
Saritha Vemulapalli,Saritha Vemulapalli,,An effective analysis of server log for website evaluation,Conference,Proceedings of the International Conference on Frontiers of Intelligent Computing: Theory and Applications (FICTA),,,Pages 133-141 Publisher Springer Berlin Heidelberg,2013.0,January,,https://link.springer.com/chapter/10.1007/978-3-642-35314-7_16,,,springer,1.0,"WWW constitutes huge repository, distributed and dynamically growing hyper medium, supporting access to information and services. As more organizations rely on WWW to conduct business, user behavior analysis becoming difficult in web-based applications. Information about users interactions with website is stored in server logs and serves as huge electronic survey of website. Web usage mining deals with discovering usage patterns fromserver logs in order to understand and better serve the needs of web users. The raw information contained in log file represents noisy data. Preprocessing includes cleaning, user identification, sessionization, path completion & structurization and is a prerequisite for improving accuracy and efficiency of the subsequent mining process. This paper emphasizes on an effective web log preprocessing system. Experimental results proved that the proposed system reduces the size of log file down to 12% and improves the performance of preprocessing in identifying users, sessions, path completion and structurization","Data mining, Web log analysis, Web usage mining, Web usage analysis, preprocessing, Website design & management.",,,,,,,
Saritha Vemulapalli,"Saritha Vemulapalli, M Shashi",No,Design and Implementation of an Effective Web Server Log Preprocessing System,International Conference,International Conference on Information Systems Design and Intelligent Applications 2012 (INDIA 2012),yes,No,"Advances in Intelligent and Soft Computing book series (AINSC, volume 132, pp: 897-905)",2012.0,Jan,40878,https://link.springer.com/chapter/10.1007/978-3-642-27443-5_103,https://doi.org/10.1007/978-3-642-27443-5_103,978-3-642-27443-5,Springer / Scopus,5.0,"WWW constitutes huge repository, distributed and dynamically growing hyper medium, supporting access to information and services. As more organizations rely on WWW to conduct business, user behavior analysis becoming difficult in web-based applications. Information about users interactions with website is stored in server logs and serves as huge electronic survey of website. Web usage mining deals with discovering usage patterns fromserver logs in order to understand and better serve the needs of web users. The raw information contained in log file represents noisy data. Preprocessing includes cleaning, user identification, sessionization, path completion & structurization and is a prerequisite for improving accuracy and efficiency of the subsequent mining process. This paper emphasizes on an effective web log preprocessing system. Experimental results proved that the proposed system reduces the size of log file down to 12% and improves the performance of preprocessing in identifying users, sessions, path completion and structurization","Data Mining,
Web Log Mining,
Web Usage Mining,
Preprocessing,
Cleaning,
User Identification,
Sessionization,
Path Completion.",,,,2013-01-01,,,
V Lavanya,"V. Lavanya, Somula Ramasubbareddy, Govinda. K",,Fuzzy keyword matching using N-Gram and Cryptographic approach over encrypted data in cloud,Book Chapter,Embedded Systems and Artificial Intelligence,Yes,Yes,"Advances in Intelligent Systems and Computing, vol 1076. Springer, Singapore. pp 551-558",2020.0,April,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-0947-6_52,DOI https://doi.org/10.1007/978-981-15-0947-6_52,ISBN 978-981-15-0946-9,springer,0.0,"Due to widespread use of cloud computing, there is more and more data is being stored over cloud by the users every day in such case finding a solution for easy, secure and safe way to handle the data is necessary. So I have given the solution for such problem using some algorithms like AES encryption and similarity calculating algorithms. So, instead of searching directly using keyword here in this paper the approach is different. Here, I am using searching over the encrypted data which is much secure than the normal searching. In this project, I will be using AES encryption algorithm for encryption and Jaccard coefficient to find the similarity between the keywords. So after giving keyword, the encrypted keywords can be searched and user will be able to find the file over cloud. In this project, I have implemented and tested the solution to the problem of secure cloud computing. By using the fuzzy keyword searching over encrypted cloud computing and taking care of safety and secrecy of data files. This fuzzy keyword searching significantly increases the efficiency and safety over cloud. This is user friendly and easy to manage and require less resource. And the results are accurate enough to get exact files searched by the user. The efficiency is increased by approximated computing and it works great. In this solution, Jaccard coefficient is being used to calcite similarity and used two advanced techniques to make fuzzy keyword set, which achieves the great results. Where n-gram algorithm is used to generate the set of different length n-grams of any keyword which is going to be encrypted and is being stored over cloud. I have done security analysis and found out that this system is secure and reliable for modern cloud computing operations and file storage. This system achieves its proposed goal efficiently and results are shown for same.","Fuzzy
Encryption
Cloud
N-gram
Security",,,,2020-04-01,,,
V Lavanya,L Vemulapalli,,Literature survey on machine learning based techniques in medical dataanalysis,Journal,Indian Journal of Applied Research,No,No,"Volume 9,Pages 1-4",2019.0,,2018-19,Vemulapalli: Literature survey on machine learning... - Google Scholar,,,scholar.google.co.in,2.0,,,,,,2019-01-01,,,
V Lavanya,"Lavanya Vemulapalli, P Chandra Sekhar",,LITERATURE SURVEY ON MACHINE LEARNING BASED TECHNIQUES IN MEDICAL DATA ANALYSIS,Journal,Indian Journal of Applied Research,Yes,Yes,Volume 9 Issue 11,2019.0,November,2019-20,https://www.doi.org/10.36106/ijar/2113665,https://www.doi.org/10.36106/ijar/2113665,ISSN No. 2249 - 555X,Scopus,0.0,"Machine Learning plays a significant role among the areas of Artificial Intelligence (AI). During recent years, Machine Learning (ML) has been attracting many researchers, and it has been successfully applied in many fields such as medical, education, forecasting etc., Right now, the diagnosis of diseases is mostly from expert's decision. Diagnosis is a major task in clinical science as it is crucial in determining if a patient is having the disease or not. This in turn decides the suitable path of treatment for disease diagnosis. Applying machine learning techniques for disease diagnosis using intelligent algorithms has been a hot research area of computer science. This paper throws a light on the comprehensive survey on the machine learning applications in the medical disease prognosis during the past decades","Artificial Intelligence, Diagnosis, Machine Learning, Pattern Recognition, Statistical Learning",,,,2019-11-01,,,
V Lavanya,"Lavanya Vemulapalli, Mohanbabu Choragudi",,Safety Structural Design for Cloud Networking,Journal,International Journal of Conceptions on Computing and Information Technology,Yes,Yes,"Vol. 3, Issue. 1",2015.0,April,2014-15,http://wairco.org/IJCCIT/April2015.html,http://wairco.org/IJCCIT/April2015.html,ISSN: 2345  9808,wairco,,,,,,,2015-04-01,,,
V Lavanya,"Lavanya Vemulapalli, Mohanbabu Choragudi",,Basic Approaches to Semantic Web Services,Journal,International Journal of Conceptions on Computing and Information Technology,Yes,Yes,"Vol. 3, Issue. 1",2015.0,April,2014-15,http://wairco.org/IJCCIT/April2015.html,http://wairco.org/IJCCIT/April2015.html,ISSN: 2345  9808,wairco,0.0,,,,,,2015-04-01,,,
V Lavanya,"V Lavanya, P Chandra Sekhar
",,Efficient Cybersecurity Model Using Wavelet Deep CNN and Enhanced Rain Optimization Algorithm,Journal,International Journal of Image and Graphics,,,"Pages
2450048",2023.0,March,2023-24,https://www.worldscientific.com/doi/abs/10.1142/S0219467824500487,https://doi.org/10.1142/S0219467824500487,,World Scientific Publishing Company,0.0,"Cybersecurity has received greater attention in modern times due to the emergence of IoT (Internet-of-Things) and CNs (Computer Networks). Because of the massive increase in Internet access, various malicious malware have emerged and pose significant computer security threats. The numerous computing processes across the network have a high risk of being tampered with or exploited, which necessitates developing effective intrusion detection systems. Therefore, it is essential to build an effective cybersecurity model to detect the different anomalies or cyber-attacks in the network. This work introduces a new method known as Wavelet Deep Convolutional Neural Network (WDCNN) to classify cyber-attacks. The presented network combines WDCNN with Enhanced Rain Optimization Algorithm (EROA) to minimize the loss in the network. This proposed algorithm is designed to detect attacks in large-scale data and reduces the complexities of detection with maximum detection accuracy. The proposed method is implemented in PYTHON. The classification process is completed with the help of the two most famous datasets, KDD cup 1999 and CICMalDroid 2020. The performance of WDCNN_EROA can be assessed using parameters like specificity, accuracy, precision F-measure and recall. The results showed that the proposed method is about 98.72% accurate for the first dataset and 98.64% for the second dataset.","Cyber-attackswavelet, deep convolutional neural network,Rain optimization algorithm,wavelet pooling,intrusion detection,deep learning,network security
",,,,2023-03-31,,,
V Lavanya,"L Vemulapalli, K Bhavya, M Ribka, V Ramya, G Sushanth Bikky Joseph, G Rajkumar
",,Magic mirror using Raspberry Pi,Journal,"2018 International Conference on Recent Trends in Advance Computing (ICRTAC), Pune, India",,,"Pages
1-4",2022.0,May,2022-23,https://www.journal-dogorangsang.in/no_1_Online_22/89.pdf,,ISSN : 2347-7180,Dogo Rangsang Research Journal,1.0,"Intelligent mirrors, which continue the work today and will take its place in the future technology, provide both mirror and computer aided information services to its users. Microcontroller cards which are present in raspberry pi, are connected to the internet and take information from the internet and show this information on the places located on the mirror. The developing intelligent
magic mirror includes the weather details, time and location information, current event details, user
information taken from web services using Raspberry Pi 3 microcontroller card. Some devices or
things can be controlled by voice commands through microphone on the magic mirror. A smart
mirror displays applications so that you can check the weather, local news, etc. while you are getting
ready in the morning. The mirror exactly thinks like human in a smart way. This magic mirror aims to
reduce or save the user time to check their pc, tablet or Smartphone for the information they required
in their daily morning or night routine. This magic mirror contains amicro-controller called Raspberry
Pi which behaves like a human brain which is considered as a brain of the interactive system. In magic
mirror we use python scripts for mirror software and also for personal assistant. For making this
personal assistant an Google account is required. Using the Google Assistant, the Google function and
Google skills using skill kit will be created. Once the functionis set up, the function can be accessed
using a command line after the software is installed. An 18 LED Monitor will be placed below a
high quality one-way mirror and the model will be held in a wooden frame. We will build a separate
personal assistant that will be able to recognize voice commands and performspeech to text operations.
The personal assistance is named GOOGLE. There is a huge scope for this project and AI is much
needed today."," Raspberry pi ,node.js, javascript, python, google assistant, speech recognition",,,,2022-06-01,,,
V Lavanya,"LAVANYA VEMULAPALLI, P CHANDRA SEKHAR",,AN INTELLIGENT CYBERSECURITY MODEL FOR IOT NETWORKS USING ADVERSARIALLY REGULARIZED PARALLEL DEEP TRANSFER NETWORK,Journal,Journal of Theoretical and Applied Information Technology,,,"Volume 101
,Issue 20",2023.0,october,2023-24,https://www.jatit.org/volumes/Vol101No20/19Vol101No20.pdf,,ISSN: 1992-8645,Journal of Theoretical and Applied Information Technology,0.0,"The increasing number of technology and information has led to significant security problems, which have
increased the significance of the creation of sophisticated intrusion detection systems (IDS). Big data may
be handled through deep learning, which has demonstrated excellent performance in several disciplines. As
a result, security professionals want to use deep learning in intrusion detection systems. This subject has
been the subject of a great deal of research, which has produced a wide variety of methods. To categorise
network traffic, the majority of these methods employ predetermined characteristics that have been
retrieved by specialists.However most of the methods are incapable of effectively classifying the intrusion.
To solve this problem, this research introduced a novel deep learning method to effectively classify the
intrusion with lesser delay. Using a multi-level clustering strategy that includes the k-nearest neighbour,
reverse k-nearest neighbour and k-means clustering approach, the undesirable information and outliers in
the data may be eliminated. The Adversarially Regularised Parallel Deep Transfer Network (AR-PDTN) is
then used to classify the IoT data intrusion in order to identify any network irregularities. The parameters of
the proposed neural network model will then be appropriately adjusted using Alpine skiing optimisation.
Five independent datasets like CICIDS2017, NSL-KDD, KDDCup99, UNSW-NB15 and BOT-IOT were
utilised to categorise the incursion. In the results section, the accuracy, precision, recall, and f1-score of the
proposed model are contrasted with those of several other current models.The proposed model achieved
99.3% accuracy in UNSW-NB15 dataset, 99.7% in CICIDS2017, 99.1% in NSL-KDD dataset, 99.8%
using BoT-IoT dataset and 94.5% in KDDCup99 dataset, respectively.The performance of the proposed
framework was the best when compared with each dataset. In this research, an Adversarially Regularized
parallel deep transfer Network (AR-PDTN) is introduced to classify the intrusion from IoT data. The
unwanted information and outliers data could be reduced by using multi-level clustering approach
concerning k-nearest neighbour, reverse k-nearest neighbour and k-means clustering approach .","Linear Time Complexity, Adjacent Neighbours, High Density Points, Wasserstein Auto
Encoder, Critic Unit, Adversary Auto Encoder, Down Sampling, Convolutional Filter Tube ",,,,2023-10-31,,,
V Lavanya,"P SIDDHARTHA, LAVANYA VEMULAPALLI",,EMAIL COMMUNICATION WITH CIRCUMVENTION TOOL,Journal,JES- Journal of Engineering Services,Yes,Yes,"Vol 11, Issue 1, pages 336-341",2020.0,January,2019-20,https://jespublication.com/upload/2020-1101053.pdf,https://jespublication.com/upload/2020-1101053.pdf,ISSN NO:0377-9254,Jespublication,0.0,"In our current online generation, we have many types communication system, in those we are mainly using social sites and for all official, professional, financial communication system were using email services. In the email system we also required some third party protocol to send the email from a machine due to bulk emails like salary statements, announcement etc. Using these third party services we also have problem of phishing, spam email etc. By taking these problems in this paper, we proposing monitor of email by using the CIRCUMVENTION, a specifically to be had censorship-resistant infrastructure. We capture this transaction by monitor the sender websites who are sending mails using public third party email service like Gmail, Yahoo etc. Our system we check the each and every email sending transaction through our server and verify the sender details and deliver to the user by using proxy server. We demonstrated our model by using of the web application. We got the expected and best results by comparing with literature","CIRCUMVENTION server, Email agent, Converter, Web Browser",,,,2020-01-02,,,
S. Murali Mohan,S. Murali Mohan M.Deepika,Yes,Secured Data Sharing in Group Users in Cloud,Journal,INTERNATIONAL JOURNAL OF RESEARCH IN ELECTRONICS AND COMPUTER ENGINEERING (IJRECE),No,No,Volume 7 Issue 1,2019.0,March,2018-19,http://nebula.wsimg.com/46d327adb17caf889fa57ed7682e4c47?AccessKeyId=DFB1BA3CED7E7997D5B1&disposition=0&alloworigin=1,,ISSN: 2393-9028,http://www.i2or-ijrece.com/vol.-7-issue-1--version-1-.html,0.0,"Data security becomes essential every day with development and growth of cloud computing. Cloud computing enables distributed resources and services to be shared between different organisations or sites. Ex: Microsoft Azure, AWS. Since group sharing and distributed resources in an open environment through network which rises security problem. By SeDaSC (Secure Data Sharing in Clouds) methodology, we can provide, data sharing securely among group users without re-encryption and zero proof of knowledge is used to provide trust level at Cryptographic Server side. ","Access control, Cloud computing,
Confidentiality, Secure Sharing, Security, Trusting.",,,,2019-03-01,,,
Swathi Sambangi,"Illa Pavan Kumar, Swathi Sambangi",No,Automated smart product information management through smart trolley,Journal,International Journal of Mechanical and Production Engineering Research and Development (IJMPERD),yes,No,"Vol. 8, Special Issue 2, Nov 2018",2018.0,November,2018-19,,,ISSN: 2249-8001,,0.0,,,,,,2018-11-11,,,
Swathi Sambangi,"Swathi Sambangi, Lakshmeeswari Gondi",No,Task Scheduling Allocation based on Task Completion Time in Cloud Environment,Journal,International Journal of Recent Technology and Engineering (IJRTE),No,No,"Volume-8 Issue-4,Volume-8 Issue-4,",2019.0,November,2019-20,https://www.ijrte.org/portfolio-item/D7409118419/,10.35940/ijrte.D7409.118419,,ijrte,0.0,"Cloud computing is a prominent computing model wherein shared resources can be given as per the customer request at a time. The available resources in the cloud are gathered to execute several tasks that are submitted by the customer. While implementing the tasks, there is a need to optimize performance in terms of execution time, response time and resource utilization of the cloud. The optimization of the mentioned factors in the Cloud Computing can be achieved by one of the major areas known as Load balancing which refers to dealing with client requests from diverse application servers that are functioning in the cloud. An efficient Load Balancing algorithm enables the cloud to be more proficient and enhances customer contentment. So, this survey paper highlights the latest studies regarding the application of Load Balancing techniques for task allocation such as resource allocation (RA) strategies, cloud task scheduling centered on Load Balancing, dynamic Resource Allocation schemes, and cloud resource provisioning scheduling heuristics. Finally, Load Balancing performance for task allocation methods is compared based on task completion time","Load Balancing, Cloud Outage, Task Scheduling",,,,2020-01-09,,,
