nameOfAuthor,listOfAuthors,studentPublication,title,typeOfPublication,nameOfPublicationPlatform,scopus,wos,publicationDetails,year,month,academicYear,url,doi,identificationNumber,indexing,noOfCitations,abstract,keywords,specialization,status,link,dateOfPublication
"B Venkata Seshu Kumari,","B Venkata Seshu Kumari, Ramisetty Rajeshwara Rao",,Improving Telugu dependency parsing using combinatory categorial grammar supertags,Journal,ACM Transactions on Asian and Low-Resource Language Information Processing (TALLIP),No,No,"Volume 14 Issue 1, Pages 1-10, Publisher ACM",2015,January,2014-15,https://dl.acm.org/doi/abs/10.1145/2693190.2693191,https://doi.org/10.1145/2693190.2693191,ISSN:2375-4699,ACM,2,"We show that Combinatory Categorial Grammar (CCG) supertags can improve Telugu dependency parsing. In this process, we first extract a CCG lexicon from the dependency treebank. Using both the CCG lexicon and the dependency treebank, we create a CCG treebank using a chart parser. Exploring different morphological features of Telugu, we develop a supertagger using maximum entropy models. We provide CCG supertags as features to the Telugu dependency parser (MST parser). We get an improvement of 1.8% in the unlabelled attachment score and 2.2% in the labelled attachment score. Our results show that CCG supertags improve the MST parser, especially on verbal arguments for which it has weak rates of recovery.","combinatory categorial grammar, ccg, supertags, telugu, dependency parsing, lexicon, treebank, chart parser, morphological features, maximum entropy models, features, mst parser, unlabelled attachment score, labelled attachment score, verbal arguments",,,,2015-01-30
"B Venkata Seshu Kumari,","R Rajeswara Rao, B Venkata Seshu Kumari",,Two approaches for incorporating linguistic constraints to improve the usability of Telugu dependency parser,Journal,International Journal of Applied Pattern Recognition,No,No,Volume 3 Issue 2 Pages 135-144 Publisher Inderscience Publishers (IEL),2016,September,2016-17,https://www.inderscienceonline.com/doi/abs/10.1504/IJAPR.2016.079049,https://doi.org/10.1504/IJAPR.2016.079049,,inderscienceonline,0,"Statistical systems with high accuracy are very useful in real-world applications. If these systems can capture basic linguistic information, then the usefulness of these statistical systems improves a lot. This paper is an attempt at incorporating linguistic constraints in statistical dependency parsing. We consider a simple linguistic constraint that a verb should not have multiple subjects or direct objects as its children in the dependency tree. We first describe the importance of this constraint considering machine translation systems which use dependency parser output, as an example application. We then show how the current state-of-the-art dependency parsers violate this constraint. We describe two methods to handle this constraint. We evaluate our methods on the state-of-the-art dependency Telugu parser. Our results show that we can build a statistical parser which handles linguistic constraints and thus be more useful in real-world applications without compromising accuracy.","dependency parsing, Telugu language, statistical parsing, linguistic constraints, machine learning, position-based approach, score-based approach, malt parser, Telugu treebank, natural language parsing, usability",,,,2016-09-12
"B Venkata Seshu Kumari,",,,An Improved named entity recognition using tweet topic segmentation and its application,Journal,"International Journal of Advanced Research Trends in Engineering and Technology, Vol. 4, Special Issue 2, January 2017",No,No,Peer reviewed,2017,January,2017-18,,,2394-3785,,0,NA,NA,,,,2017-01-01
"B Venkata Seshu Kumari,",,,An Improved NER using Tweet Topic Segmentation and its Application,Journal,"International Journal of Advanced Research Trends in Engineering and Technology (IJARTET), Vol. 4, Special Issue 2, January 2017",No,No,Peer reviewed,2017,January,2017-18,,,ISSN 2394-3785 (Online),,0,NA,NA,,,,2017-01-01
"B Venkata Seshu Kumari,",,,Keen Crawler: A Novel Two-Stage Crawler,Journal,"International Journal of Advanced Research Trends in Engineering and Technology (IJARTET), Vol. 4, Special Issue 2, January 2017",No,No,Peer reviewed,2017,January,2017-18,,,ISSN 2394-3785 (Online),,0,NA,NA,,,,2017-01-01
"B Venkata Seshu Kumari,",,,Keen Crawler: A Novel Two-Stage Crawler Framework for Searching the Hidden-Web Resources,Journal,"International Journal of Advanced Research Trends in Engineering and Technology (IJARTET) Vol. 4, Special Issue 2, January 2017",No,No,Peer reviewed,2017,January,2017-18,,,2394-3785,,0,NA,NA,,,,2017-01-01
"B Venkata Seshu Kumari,","B Venkata Seshu Kumari, Ramisetty Rajeshwara Rao",,Telugu dependency parsing using different statistical parsers,Journal,Journal of King Saud University-Computer and Information Sciences,No,No,"Volume 29, Issue 1, Pages 134-140, Publisher Elsevier",2017,January,2016-17,https://www.sciencedirect.com/science/article/pii/S1319157815000798,https://doi.org/10.1016/j.jksuci.2014.12.006,ISSN: 1319-1578,sciencedirect,0,"In this paper we explore different statistical dependency parsers for parsing Telugu. We consider five popular dependency parsers namely, MaltParser, MSTParser, TurboParser, ZPar and Easy-First Parser. We experiment with different parser and feature settings and show the impact of different settings. We also provide a detailed analysis of the performance of all the parsers on major dependency labels. We report our results on test data of Telugu dependency treebank provided in the ICON 2010 tools contest on Indian languages dependency parsing. We obtain state-of-the art performance of 91.8% in unlabeled attachment score and 70.0% in labeled attachment score. To the best of our knowledge ours is the only work which explored all the five popular dependency parsers and compared the performance under different feature settings for Telugu.","Dependency parsing,Telugu,MSTParser,MaltParser,TurboParser,ZPar",,,,2016-12-21
"B Venkata Seshu Kumari,",,,Optimized Task Scheduling for Cloud computing using PSO and GA,Journal,"IJRTE,vol 8,issue 2s4,July 2019",No,No,Peer reviewed,2019,July,2019-20,,,2277-3878,,0,NA,NA,,,,2019-07-01
"B Venkata Seshu Kumari,","Appidi Haritha, Dr B.V.Seshu kumari",Yes,Secure Location and Content Sharing in OSN,Journal,International Journal of Advanced Science and Technology,No,No,"Vol. 29, No.02, (2020), pp. 2292-2298",2020,July,2020-21,http://sersc.org/journals/index.php/IJAST/article/view/3647/2509,,ISSN: 2005-4238,sersc,0,NA,NA,,,,2020-07-01
"B Venkata Seshu Kumari,","Venu Yarlagadda, Annapurna Karthika Garikapati, Lakshminarayana Gadupudi, Rashmi Kapoor, K Veeresham",Yes,Comparative Analysis of STATCOM and SVC on Power System Dynamic Response and Stability Margins with time and frequency responses using Modelling,Conference,2022 International Conference on Smart Technologies and Systems for Next Generation Computing (ICSTSN) Pages 1-8 Publisher IEEE,Yes,Yes,IEEE,2022,March,2021-22,https://ieeexplore.ieee.org/abstract/document/9761306,10.1109/ICSTSN53084.2022.9761306,InternationalElectronic ISBN:978-1-6654-2111-9,IEEE Xplore,2,"To ensure dynamic and transient angle and load stability in order to maintain the power system security is a major task of the power Engineer. FACTS Controllers are most effective devices to ensure system security by enhancing the stability margins with reactive power support all over the power system network. The major shunt compensation devices of FACTS are SVC and STATCOM. This article dispenses the modelling and simulation of both the shunt devices viz. Oneis the Static Synchronous Compensator (STATCOM) and the other is Static Var Compensator (SVC). The small signal models of these devices have been derived from the first principles and obtained the transfer function models of weak and strong power systems. The weak power system has the Short Circuit Ratio (SCR) is about less than 3 and that of the strong power system has the SCR of more than 5. The performance of the both weak and strong power systems has been evaluated with time and frequency responses. The dynamic response is obtained with the exact models for both weak and strong systems, subsequently the root locus plots as well as bode plots have been obtained with MATLAB Programs and evaluated the performance of these devices and comparison is made. The Stability margins of both the systems with SVC and STATCOM have been obtained from the bode plots. The dynamic behaviour of the both kinds of power systems have been assessed with time responses of SVC and STATCOM models. All of these results viz. dynamic response, root locus and bode plots proves the superiority of the STATCOM over SVC with indices, viz. peak overshoot, settling time, gain margin and phase margins. The dynamic, steady state performance indices obtained from time response and bode plots proves the superior performance of STATCOM.","Performance evaluation,Analytical models,Power system dynamics,Stability criteria,Static VAr compensators,Transfer functions,Power system stability",,,,2022-03-25
"B Venkata Seshu Kumari,","Venu Yarlagadda, G Lakshminarayana, M Nagajyothi, I Neelima",Yes,Frequency Control and small signal stability Improvement with Fuzzy control based Single and two area power systems,Conference,"2022 IEEE Fourth International Conference on Advances in Electronics, Computers and Communications (ICAECC)",No,No,,2022,January,2021-22,,,,NA,0,NA,NA,,,,2022-01-01
"B Venkata Seshu Kumari,",,,3d Point Cloud Data Over X3dom,Journal,"International Journal of Reviews on Recent Electronic and Computer Science, Pg no:1268-1275",No,No,"Peer reviewed, IF 1.7",,,,,,ISSN 2321-5461,NA,0,NA,NA,,Inactive,,1970-01-01
"B Venkata Seshu Kumari,",,,"A Hybrid Parsing Approach for Telugu Dependency Parsing, Vol. 5, Issue 9, Sept. 2015,pp:664-668",Journal,"International Journal of Advanced Research in Computer Science and Software Engineering (IJARCSSE),",No,No,"peer reviewed, Impact Factor: 2.5",,,,,,"ISSN: 2277 128X,",NA,0,NA,NA,,Inactive,,1970-01-01
"B Venkata Seshu Kumari,",,,A Method for Developing Wireless Sensor networks for Generalized Packet Arrival.,Journal,International Journal of Reviewes on Recent Electronoics and Computer Science,No,No,"Peer reviewed, Impact Factor: 1.53",,,,,,ISSN2321-5461,NA,0,NA,NA,,Inactive,,1970-01-01
"B Venkata Seshu Kumari,",,,An Effective Scheme for Managing Data Privacy in Access Control System.,Journal,"International Journal of Reviewes on Recent Electronoics and Computer Science, Pg No:5124-5129",No,No,"Peer reviewed, Impact Factor: 1.53",,,,,,ISSN 2321-5461,NA,0,NA,NA,,Inactive,,1970-01-01
"B Venkata Seshu Kumari,",,,Exploringdiffernt approaches for parsing telugu,Conference,International conference eon Advanced machine learning technologies and applications,No,No,17th March 2019,,,2019-20,,,Inter national,NA,0,NA,NA,,,,1970-01-01
"B Venkata Seshu Kumari,",,,IMPROVED Case SECURED ROUTING USING QOS Using S-DSR,Journal,"International Journal of Computer Science information and Engg., Technologies",No,No,"Peer reviewed, Impact Factor: 3.765",,,,,,ISSN 2277 -4408,NA,0,NA,NA,,Inactive,,1970-01-01
"B Venkata Seshu Kumari,",,,"Improving Indian Language Dependency Parsing by Combining Transition-based and Graph-based parsers, Vol. 115, Issue- No. 5, April 2015,pp. 13-17",Journal,"International Journal of Computer Applications (IJCA),",No,No,"Peer reviewed, Impact Factor: 3.12",,,,,,ISSN: 0975 – 8887,NA,0,NA,NA,,Inactive,,1970-01-01
"B Venkata Seshu Kumari,",,,Improving the usablility of statistical parsers by incorporating linguistic constraints,Journal,International Journal of Electronics Communication& Computer Engineering,No,No,"Peer reviewed, Impact Factor-2.7, Pg no: 102-105",,,,,,"1. vol4,Issue(6)",NA,0,NA,NA,,Inactive,,1970-01-01
"B Venkata Seshu Kumari,",,,Introducing a security system for public auditing in public cloud storage Pg no: 602-608,Journal,International Journal for Research on Electronics and Computer Science,No,No,"Peer reviewed, Impact Factor: 1.925",,,,,,". Vol 1,issue2 ,May-2014 .",NA,0,NA,NA,,Inactive,,1970-01-01
"B Venkata Seshu Kumari,",,,Optimum Client –Server Appointment for Cyber world Disseminated Systems,Journal,"International Journal Research on Electronics and Computer Science, Pg no:-1091",No,No,"Peer reviewed, PF-1.7",,,,,,ISSN-2321-5784,NA,0,NA,NA,,Inactive,,1970-01-01
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Narsimha Gugulothu, Mangathayaru Nimmala",,An Evolutionary Feature Clustering Approach for Anomaly Detection Using Improved Fuzzy Membership Function: Feature Clustering Approach for Anomaly Detection,Journal,International Journal of Information Technology and Web Engineering (IJITWE),Yes,Yes,Volume 14 Issue 4,2019,October,2019-20,https://www.igi-global.com/article/an-evolutionary-feature-clustering-approach-for-anomaly-detection-using-improved-fuzzy-membership-function/234749,DOI: 10.4018/IJITWE.2019100102,ISSN: 1554-1045,igi-global,0,"Traditionally, IDS have been developed by applying machine learning techniques and followed single learning mechanisms or multiple learning mechanisms. Dimensionality is an important concern which affects classification accuracies and eventually the classifier performance. Feature selection approaches are widely studied and applied in research literature. In this work, a new fuzzy membership function to detect anomalies and intrusions and a method for dimensionality reduction is proposed. CANN could not address R2L and U2R attacks and have completely failed by showing these attack accuracies almost zero. Following CANN, the CLAPP approach has shown better classifier accuracies when compared to classifiers kNN, and SVM. This research aims at improving the accuracy achieved by CLAPP, CANN, and kNN. Experimental results show accuracies obtained using proposed approach is better when compared to other existing approaches. In particular, the detection of U2R and R2L attacks to user accuracies are recorded to be very much promising.","ids, machine learning, dimensionality, feature selection, fuzzy membership function, anomalies, intrusions, cann, r2l attacks, u2r attacks, clapp, knn, svm, experimental results, accuracy",,,GRK-JPUB-001,2019-10-01
Gunupudi Rajesh Kumar,"G Rajesh Kumar, N Mangathayaru, G Narasimha",,Similarity function for intrusion detection,Conference,ICEMIS'19: The 5th International Conference on Engineering & MIS 2019 Astana Kazakhstan,Yes,Yes,"Article No.: 28 Pages 1–4,",2019,June,2019-20,https://dl.acm.org/doi/abs/10.1145/3330431.3330460,https://doi.org/10.1145/3330431.3330460,ISBN: 978-1-4503-7212-1,ACM,12,"Similarity measure plays a vital role in classification, clustering and several other techniques related to data mining and machine learning. Detection of intrusions requires comparison of one instance of training input to another instance of testing input. Many times when classifiers are applied on datasets the input instances which occur relatively lesser are not classified by classifier properly. This paper suggests a similarity measure to compare an incoming instance with training instance to identify the relative similarity between them.","similarity measure, classification, clustering, data mining, machine learning, detection of intrusions, training input, testing input, classifiers, datasets, incoming instance, training instance, relative similarity",,,GRK-CPUB-002,2019-06-06
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Gugulothu Narsimha, Aravind Cheruvu",,Feature clustering for anomaly detection using improved fuzzy membership function,Conference,ICEMIS '18: International Conference on Engineering & MIS 2018 Istanbul Turkey,Yes,Yes,"Article No.: 35, Pages 1–9, Publisher: Association for Computing Machinery, New York, United States",2018,June,2017-18,https://dl.acm.org/doi/abs/10.1145/3234698.3234733,https://doi.org/10.1145/3234698.3234733,ISBN: 978-1-4503-7212-1,ACM,31,"Earlier research focus towards anomaly detection has been towards using classifiers such as kNN, SVM and using existing distance measures to perform classification. Traditionally IDSs (Intrusion detection systems) have been developed by applying machine learning techniques and adopted single learning mechanism. This is later extended by developing Intrusion Detection Systems by adopting multiple learning mechanisms. Such systems have addressed better detection rates compared to single learning Intrusion Detection Systems. Dimensionality is one more serious concern which affects the performance of classification algorithms. Approaches such as ""Feature selection"" have been studied and adopted which selects a subset features from the feature set. However, the feature extraction approach for dimensionality reduction has proved to be better compared to feature selection and achieved better classification and detection rates. In this research, we address ""Feature extraction"" using ""Evolutionary feature clustering"" by proposing a ""Novel fuzzy membership function"" which addresses Dimensionality Reduction (DR). The idea is to transform the initial connection representation so that its equivalent representation has reduced noise affect and achieves better classification or detection rates. Experimental results on KDD datasets with 19 and 41 attributes, prove that the proposed approach has improved detection rates for R2L and U2R attack classes when compared to CANN, CLAPP, and SVM approaches. CANN approach recorded lower detection rates w.r.t U2R and R2L attacks. This failure is addressed in our earlier studies through proposing, CLAPP which proved comparatively better accuracy rates to CANN. The fuzzy membership function proposed in this paper, recorded better classification and detection rates in experiments conducted","anomaly detection, classifiers, knn, svm, distance measures, idss, machine learning techniques, multiple learning mechanisms, dimensionality, feature selection, feature extraction, evolutionary feature clustering, fuzzy membership function, dimensionality reduction, experimental results",,,GRK-CPUB-003,2018-06-19
Gunupudi Rajesh Kumar,"Rajesh Kumar Gunupudi, Mangathayaru Nimmala, Narsimha Gugulothu, Suresh Reddy Gali",,CLAPP: A self constructing feature clustering approach for anomaly detection,Journal,Future Generation Computer Systems,Yes,Yes,"Volume 74, Pages 417-429, Publisher Elsevier, North-Holland",2017,September,2017-18,https://www.sciencedirect.com/science/article/abs/pii/S0167739X16308718,https://doi.org/10.1016/j.future.2016.12.040,ISSN 0167-739X,sciencedirect,61,"The term internet of things is a buzz word these days and as per Google survey conducted recently, it has even dominated the buzz word big data predominantly. However, IoT area is still not matured and is throwing light on lot of research issues towards the data mining researchers. Security in IoT throws several challenges because of limited resources. In this context, IoT gains importance once again from data miners towards anomaly mining or intrusion detection. Intrusion detection is classified as NP-class in the literature even today. Algorithms addressing privacy and security issues in IoT must consider the complexities involved and hence require re-attention from all researchers. One more problem faced when judging for intrusion is the use of high dimensionality, classifier choice, and distance measure. For example, the traditional distance measure, such as Euclidean misjudges the similarity. In this paper, the objective is to design a fuzzy membership function to address both dimensionality and anomaly mining so as reduce the computational complexity and increase computational accuracies of classifier algorithms. We validate the proposed measure using several experimentations on NSL-KDD and DARPA datasets using kNN, J48 and CANN using Gaussian measure. Improved accuracies of classifiers on U2R and R2L attacks have been recorded in the experimental results obtained for experiments conducted.","internet of things, data mining, security, anomaly mining, intrusion detection, np-class, algorithms, privacy, complexity, dimensionality, fuzzy membership function, computational complexity, classifier algorithms, experimentations, u2r and r2l attacks",,,GRK-JPUB-004,2017-05-26
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Gugulothu Narsimha, Gali Suresh Reddy",,Evolutionary approach for intrusion detection,Conference,2017 International Conference on Engineering & MIS (ICEMIS),Yes,Yes,"2017 International Conference on Engineering & MIS (ICEMIS), Monastir, Tunisia, Publisher IEEE",2017,May,2016-17,https://ieeexplore.ieee.org/abstract/document/8273116,DOI: 10.1109/ICEMIS.2017.8273116,ISSN: 2575-1328,IEEE Xplore,12,"In this work, we design and propose an improved fuzzy membership function to detect anomalies and intrusions. The objective of the present approach is to achieve an optimal transformation matrix which can improve classifier accuracies. The transformation matrix is aimed at mapping the original process onto a new fuzzy space, so that the resultant representation is free from noise data and facilitates to improve the overall accuracy and also individual class accuracies. Experimental results show that accuracies obtained using our approach is better compared to other approaches. In particular U2R and R2L accuracies are recorded to be very much promising. This research shows an approach which addresses the improvement in overall accuracy and also improvement in detecting R2L and U2R attack accuracies. In future, we plan to extend this work by applying new measures for dimensionality reduction and classification for improving U2R and R2L attack classification accuracies.","Intrusion detection,Dimensionality reduction,Frequency measurement,Feature extraction,Classification algorithms,Protocols,Knowledge based systems",,,GRK-CPUB-005,2017-05-08
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Gugulothu Narsimha",,A FEATURE CLUSTERING BASED DIMENSIONALITY REDUCTION FOR INTRUSION DETECTION (FCBDR).,Journal,IADIS International Journal on Computer Science & Information Systems,Yes,Yes,"Volume 12, Issue 1, Pages 26-44",2017,January,2016-17,http://oaji.net/articles/2019/3083-1576243681.pdf,,ISSN: 1646-3692,oaji,0,"This work discusses the approach for intrusion detection and classification by devising a membership function, inspired from Yung, Jung, & Shie-Jue (2014) and used in this work to carry the dimensionality reduction of processes present in the training set in evolutionary approach. The reduced process representation may then be used to perform classification and prediction for detecting intrusion. It is seen that the reduced representation of processes retains the system call distribution of the initial process. Experiment results show the proposed approach is better compared to existing approaches and helps in effective identification of U2R and R2L attacks.","Classifier, Malicious, Intrusion, System Call, Fuzzy Feature",,,GRK-JPUB-006,2017-01-01
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Gugulothu Narsimha",,Design of novel fuzzy distribution function for dimensionality reduction and intrusion detection,Conference,2016 International Conference on Engineering & MIS (ICEMIS),Yes,Yes,"Pages 1-6, Publisher IEEE",2016,September,2016-17,https://ieeexplore.ieee.org/abstract/document/7745346,DOI: 10.1109/ICEMIS.2016.7745346,ISBN:978-1-5090-5580-7,IEEE Xplore,26,Reducing the processing complexity is main challenge when dealing with intrusion detection systems. The processing complexity is reduced and efficiency is increased if we can reduce the number of dimensions so that only the minimum number of dimensions is retained. This work mainly targets on achieving dimensional reduction for intrusion detection using a novel membership function. The membership function is used to cluster the features in iterative incremental manner and obtains a reduced dimensional representation which retains the original distribution of process data. A case study is discussed to explore working of proposed model.,"computational complexity,security of data",,,GRK-CPUB-007,2016-09-22
Gunupudi Rajesh Kumar,"Nimmala Mangathayaru, Gunupudi Rajesh Kumar, Gugulothu Narsimha",,Text mining based approach for intrusion detection,Conference,2016 International Conference on Engineering & MIS (ICEMIS),Yes,Yes,"Pages 1-5, Publisher IEEE, 2016",2016,September,2016-17,https://ieeexplore.ieee.org/abstract/document/7745351,DOI: 10.1109/ICEMIS.2016.7745351,ISBN:978-1-5090-5580-7,IEEE Xplore,20,"Intrusion detection is classified as NP-Hard in the literature even today. Also supervised learning also termed classification, when performed on high dimensional documents has problem from the noise or outliers, which make the text classification inaccurate and leads to reduced accuracy by classifiers. We discuss the feature reduction methods which we adopted to achieve dimensionality reduction. In the Feature Extraction process, the high dimensional text documents are projected onto their corresponding low dimensional representation in feature space through using algebraic rules and transformations. The objective is to find optimal transformation matrix corresponding the input high dimensional document feature matrix. This objective is achieved in this thesis by using the concept of feature clustering and through clustering the features into a optimal set of clusters by designing a novel fuzzy membership function. The membership function designed retains the original distribution of words in the documents which is the importance of this approach.","computational complexity,data mining,data reduction,feature extraction,fuzzy set theory,learning (artificial intelligence),
matrix algebra,pattern classification,pattern clustering,
security of data,text analysis",,,GRK-CPUB-009,2016-09-22
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Gugulothu Narsimha",,A novel similarity measure for intrusion detection using gaussian function,Journal,REVISTA TECNICA DE LA FACULTAD DE INGENIERIA UNIVERSIDAD DEL ZULIA,Yes,Yes,"Volume. 39, No. 2, pages 173-183",2016,December,2016-17,https://arxiv.org/ftp/arxiv/papers/1604/1604.07510.pdf,https://arxiv.org/ftp/arxiv/papers/1604/1604.07510.pdf,ISSN: 0254-0770,arxiv,0,"In this paper the major objective is to design and analyze the suitability of Gaussian similarity measure for intrusion detection. The objective is to use this as a distance measure to find the distance between any two data samples of training set such as DARPA Data Set, KDD Data Set. This major objective is to use this measure as a distance metric when applying k- means algorithm. The novelty of this approach is making use of the proposed distance function as part of k-means algorithm so as to obtain disjoint clusters. This is followed by a case study, which demonstrates the process of Intrusion Detection. The proposed similarity has fixed upper and lower bounds. The proposed similarity measure satisfies all properties of a typical similarity measure."," Intrusion Detection, Similarity Function, k-Means, Gaussian, Text Processing",,,GRK-JPUB-010,2016-12-01
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Gugulothu Narsimha",,An approach for intrusion detection using novel gaussian based kernel function.,Journal,Journal of Universal Computer Science,Yes,Yes,"Volume 22, Issue 4, Pages 589-604, PUBLISHER, Technische Universitat Graz from Austria",2016,April,2016-17,http://www.jucs.org/jucs_22_4/an_approach_for_intrusion/jucs_22_04_0589_0604_kumar.pdf,DOI: 10.3217/jucs-022-04,"ISSN: 0948-695X,",jucs,0,"Software Security and Intrusion Detection need to be dealt at three levels Network, Host level and Application level. In this paper the major objective is to design and analyze the suitability of Gaussian similarity measure for intrusion detection. The objective is to use this as a distance measure to find the distance between any two data samples of training set such as DARPA Data Set, KDD Data Set. This major objective is to use this measure as a distance metric when applying k-means algorithm. The novelty of this approach is making use of the proposed distance function as part of k-means algorithm so as to obtain disjoint clusters. This is followed by a case study, which demonstrates the process of Intrusion Detection. The proposed similarity has fixed upper and lower bounds.","Intrusion Detection, Similarity Function, k-Means, Gaussian, Text Processing, Software Vulnerabilities",,,GRK-JPUB-011,2016-04-01
Gunupudi Rajesh Kumar,"Gunupudi RajeshKumar, Nimmala Mangathayaru, Gugulothu Narsimha",,Intrusion detection a text mining based approach,Journal,International Journal of Computer Science and Information Security (IJCSIS),Yes,Yes,"Special issue on “Computing Applications and Data Mining, Vol. 14 S1",2016,February,2016-17,https://arxiv.org/ftp/arxiv/papers/1603/1603.03837.pdf,https://arxiv.org/ftp/arxiv/papers/1603/1603.03837.pdf,ISSN 1947 5500,arxiv,0,"Intrusion Detection is one of major threats for organization. The approach of intrusion detection using text processing has been one of research interests which is gaining significant importance from researchers. In text mining based approach for intrusion detection, system calls serve as source for mining and predicting possibility of intrusion or attack. When an application runs, there might be several system calls which are initiated in the background. These system calls form the strong basis and the deciding factor for intrusion detection. In this paper, we mainly discuss the approach for intrusion detection by designing a distance measure which is designed by taking into consideration the conventional Gaussian function and modified to suit the need for similarity function. A Framework for intrusion detection is also discussed as part of this research.","system calls, intrusion, prediction, classification, kernel measures",,,GRK-JPUB-012,2016-02-01
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, N Mangathayaru, G Narasimha",,An improved k-Means Clustering algorithm for Intrusion Detection using Gaussian function,Conference,Proceedings of the The International Conference on Engineering & MIS 2015,Yes,Yes,"Pages 1-7, Istanbul Turkey, Publisher: Association for Computing Machinery, New York, United States",2015,September,2015-16,https://dl.acm.org/doi/abs/10.1145/2832987.2833082,https://doi.org/10.1145/2832987.2833082,ISBN: 978-1-4503-7212-1,ACM,37,"In this paper the major objective is to design and analyze the suitability of Gaussian similarity measure for intrusion detection. The objective is to use this as a distance measure to find the distance between any two data samples of training set such as DARPA Data Set, KDD Data Set. This major objective is to use this measure as a distance metric when applying k-means algorithm. The novelty of this approach is making use of the proposed distance function as part of k-means algorithm so as to obtain disjoint clusters. This is followed by a case study, which demonstrates the process of Intrusion Detection. The proposed similarity has fixed upper and lower bounds.","paper, gaussian similarity measure, intrusion detection, distance measure, training set, darpa data set, kdd data set, distance metric, k-means algorithm, novelty, proposed distance function, disjoint clusters, case study, process, upper and lower bounds",,,GRK-CPUB-013,2015-09-24
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, N Mangathayaru, G Narasimha",,Intrusion detection using text processing techniques: a recent survey,Conference,Proceedings of the The International Conference on Engineering & MIS 2015,Yes,Yes,"Pages 1-6, Istanbul Turkey, Publisher: Association for Computing Machinery, New York, United States",2015,September,2015-16,https://dl.acm.org/doi/abs/10.1145/2832987.2833067,https://doi.org/10.1145/2832987.2833067,ISBN: 978-1-4503-7212-1,ACM,20,"Intrusion Detection is one of the major threats for any organization of any size. The approach of intrusion detection using text processing has been one of the research interests among researchers working in the area of the network and information security. In this approach for intrusion detection, the system calls serve as the source for mining and predicting any chance of intrusion. When an application runs, there might be several system calls which are initiated in the background. These system calls form the basis and the deciding factor for intrusion detection. We perform an extensive survey on Intrusion detection using text mining techniques and validate the suitability of various kernel measures published in the literature. We finally come out with the research directions for intrusion detection which have not been discussed in detail in the literature. We hope this survey will be useful for researchers working in the direction of intrusion detection using text mining techniques.","intrusion detection, text processing, research, network security, information security, system calls, mining, predicting, application, background, survey, text mining techniques, kernel measures, research directions, literature",,,GRK-CPUB-014,2015-09-24
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, N Mangathayaru, G Narasimha",,An approach for intrusion detection using text mining techniques,Conference,Proceedings of the The International Conference on Engineering & MIS 2015,Yes,Yes,"Pages 1-6, Istanbul Turkey, Publisher: Association for Computing Machinery, New York, United States",2015,September,2015-16,https://dl.acm.org/doi/abs/10.1145/2832987.2833076,https://doi.org/10.1145/2832987.2833076,ISBN: 978-1-4503-7212-1,ACM,30,"The problem of clustering is NP-Complete. The existing clustering algorithm in literature is the approximate algorithms, which cluster the underlying data differently for different datasets. The K-Means Clustering algorithm is suitable for frequency but not for binary form. When an application runs several system calls are implicitly invoked in the background. Based on these system calls we can predict the normal or abnormal behavior of applications. This can be done by classification. In this paper we tried to perform classification of processes running into normal and abnormal states by using system call behavior. We reduce the system call feature vector by choosing k-means algorithm which uses the proposed measure for dimensionality reduction. We give the design of the proposed measure. The proposed measure has upper and lower bounds which are finite.","clustering, np-complete, algorithms, k-means clustering, frequency, binary form, system calls, abnormal behavior, classification, processes, dimensionality reduction, feature vector, upper bounds, lower bounds, finite",,,GRK-CPUB-015,2015-09-24
Gunupudi Rajesh Kumar,"Arun Nagaraja, Rajesh Kumar Gunupudi, R Saravana Kumar, Nimmala Mangathayaru",,Optimization of Access Points in Wireless Sensor Network: An Approach towards Security,Book Chapter,Computer Science On-line Conference 2015,Yes,Yes,"Advances in Intelligent Systems and Computing, vol 348. Pages 299-306, Springer, Cham.",2015,April,2014-15,https://link.springer.com/chapter/10.1007/978-3-319-18503-3_29,https://doi.org/10.1007/978-3-319-18503-3_29,ISBN978-3-319-18503-3,SpringerLink,7,"Wireless Sensor Networks has lot to do with the technology. With several problems existing, the use of Access Points in a secured way will provide the long lasting connectivity throughout the covered area. The connectivity and the security process are discussed using two different algorithms in this paper. The connectivity to the end user is established with the help of encryption and decryption process of keys. The two algorithms are Optimization algorithm and Craving algorithm. By using these two algorithms, the connectivity is extended outside the range of signals with sensor nodes.","Optimization,Access Point,Wireless Sensor Network,Craving Algorithm",,,GRK-PUB-016,2015-04-01
