nameOfAuthor,listOfAuthors,studentPublication,title,Type of Publication,conferenceName,scopus,wos,publicationDetails,year,month,academicYear,url,doi,ISBN,indexingDetails,Citations,Abstract,keywords,specialization,status,LINK
D Dakshayani Himabindu,"D Dakshayani Himabindu, S Praveen Kumar",No,A Comprehensive Analytic Scheme for Classification of Novel Models,Conference,2020 3rd International Conference on Intelligent Sustainable Systems (ICISS),Yes,,,2020,December,2020-21,https://ieeexplore.ieee.org/xpl/conhome/9315857/proceeding,DOI: 10.1109/ICISS49785.2020.9316065,978-1-7281-7089-3,yes,1,,NA,,,
D Dakshayani Himabindu,"Pasala Sandhya, Raswitha Bandi, D Dakshayani Himabindu",No,Stock Price Prediction using Recurrent Neural Network and LSTM,Conference,2022 6th International Conference on Computing Methodologies and Communication (ICCMC),Yes,-,2022 6th International Conference on Computing Methodologies and Communication (ICCMC),2022,March,2021-22,https://ieeexplore.ieee.org/abstract/document/9753764,DOI: 10.1109/ICCMC53470.2022.9753764,ISBN:978-1-6654-1029-8,,,,"Close price,input gate,output gate,gate forget,hidden layer,input layer,an output layer,sigmoid gate,recurring neural networks,long shorter-term memory",,,
Dr.N.Sudhakar Yadav,Sudhakar Yadav N;Sagar Yeruva;T Sunil Kumar;Talluri Susan,No,The Improved Effectual Data Processing in Big Data Executing Map Reduce Frame Work,conference,IEEE MysuruCon 2021,Yes,,"IEEE, 2021",2021,October,2021-22,https://ieeexplore.ieee.org/document/9641660,DOI: 10.1109/MysuruCon52639.2021,,Yes,5,,"Hadoop,Data Processing,Map Reduce,Performance,Query Processing",,,
Dr.N.Sudhakar Yadav,R. Hruthik Chandra,No,Rice Disease Detection and Classification Using Artificial Intelligence,conference,ICISPES-2021,Yes,,pp 221–234,2021,October,2021-22,https://link.springer.com/chapter/10.1007/978-981-19-1669-4_20,DOI: 10.1007/978-981-19-1669-4_20,2524-7573,Yes,,,"Rice,Plant diseases,Artificial intelligence,Internet of Things,Convolutional neural network",,,
Dr.N.Sudhakar Yadav,Sudhakar Yadav N;Ravikanth Motupalli;K Jamal;Chalumuru Suresh,No,An Automated Rescue and Service System with Route Deviation using IoT and Blockchain Technologies,conference,IEEE MysuruCon 2021,Yes,,"IEEE, 2021",2021,October,2021-22,https://ieeexplore.ieee.org/document/9641660,DOI: 10.1109/MysuruCon52639.2021,,Yes,4,,"Hadoop,Data Processing,Map Reduce,Performance,Query Processing",,,
Dr.N.Sudhakar Yadav,R. Hruthik Chandra,,Artificial Intelligence Based Algorithms for Driver Distraction Detection: A Review,conference,ISPCC,Yes,,ISPCC (pp. 383-386). IEEE.,2021,October,2021-22,https://ieeexplore.ieee.org/abstract/document/9609349,10.1109/ISPCC53510.2021.9609349,978-1-6654-2554-4,Yes,4,,"Convolutional Neural Network (CNN),Decision Tree,Support Vector Machine (SVM).",,,
Dr.N.Sudhakar Yadav,Samardh Vadupu,,Skin Pathology Detection Using Artificial Intelligence,conference,IEEE ISPCCYes,,,pp. 373-376,2021,October,2021-22,https://ieeexplore.ieee.org/document/9609516/authors#authors,10.1109/ISPCC53510.2021,978-1-6654-2554-4,Yes,6,,"Convolution Neural Network,Cancer,Melanoma,skin",,,
Dr.N.Sudhakar Yadav,"Sudhakar Yadav, Y.Ushar Rani,M.Ravikanth,Jamal",No,Predictive and Behavioral Analytics for Big Data Architecture,conference,IPDIMS 2021,YES,,pp 595–605,2022,October,2022-23,https://link.springer.com/chapter/10.1007/978-981-19-4606-6_55,DOI: 10.1007/978-981-19-4606-6_55,978-981-19-4605-9,Yes,,,"Analytics and big data,Hadoop,Predictive analysis,Intelligence,Pattern insights,Social iedia",,,
Dr.N.Sudhakar Yadav,"S.Rama Subba Reddy, M.Ravi Kanth",No,Neual network based activity Recognition system,conference,ICICSE-2021,Yes,,pp 511–518,2021,september,2021-22,https://link.springer.com/chapter/10.1007/978-981-16-8987-1_54,DOI: 10.1007/978-981-16-8987-1_54,"LNNS,volume 385",Yes,1,,"HCI,Neural network,Skeleton,Object,Detection",,,
"Keesara Sravanthi,","Raswitha Bandi, Keesara Sravanthi,Shamila. M",No,Android app for inventory management system in supermarket,Conference,International Conference on Smart Modernistic in Electronics and Communication-ICSMEC 2020,No,No,Paper id 101,2020,June,2019-20,https://www.smec.ac.in/assets/images/ece/ICSMEC.pdf,https://www.smec.ac.in/assets/images/ece/ICSMEC.pdf,ISBN No. 978-93-80831-43-5,No,0,,,,,
P Balakesava Reddy,"Srinivas Kolli,D Saravanan",NO,Neural Network based Obfuscated Malware detection,Conference,IEEE,Yes,,,2021,JULY,2021-22,https://ieeexplore.ieee.org/abstract/document/9526496,,,,,,"Obfuscated Malware,Similarity algorithm,neural network",,,
P Balakesava Reddy,"Pavan Kumar Illa,Anand Kumar Sharma",No,Stock price prediction methodology using random forest algorithm and support vector machine,Conference,Materials Today: Proceedings,YES,,In Press,2021,November,2021-22,https://www.sciencedirect.com/science/article/pii/S2214785321069674,https://doi.org/10.1016/j.matpr.2021.10.460,,,0,,NA,,,
V. Sravan Kiran,"Arun Nagaraja, V. Sravan Kiran, Prabhakara H. S, N. Rajasekhar",,A membership function for intrusion and anomaly detection of low frequency attacks,Conference,"DATA '18: Proceedings of the First International Conference on Data Science, E-learning and Information Systems",Yes,Yes,"October 2018, Article No.: 35, Pages 1–6",2018,October,2018-19,https://dl.acm.org/doi/10.1145/3279996.3280031,10.1145/3460620.3460624,ISBN: 978-1-4503-6536-9,,,,NA,,,
V.Sravan Kiran,"V.Sravan Kiran , A . Rajesh",,Machine learning framework for covid -19 diagnosis,Conference,DATA 21: 3rd International conference on data science,yes,yes,,2021,April,2020-21,https://dl.acm.org/doi/10.1145/3460620.3460624,10.1145/3460620.3460624,ISBN: 9781450388382,,,,NA,,,
V.Sravan Kiran,"V.Sravan Kiran , A . Rajesh",,A survey on similarity measures and machine learning algorithms for classification and prediction,Conference,DATA 21: 3rd International conference on data science,,,,2021,April,2020-21,https://dl.acm.org/doi/10.1145/3460620.3460755,10.1145/3460620.3460755,ISBN: 9781450388382,,,,NA,,,
V.Sravan Kiran,V.Sravan Kiran,,Design and Analysis of activation functions used in deep learning models,Conference,ICEMIS'21:,,,,2021,October,2020-21,https://dl.acm.org/doi/10.1145/3492547.3492575,https://doi.org/10.1145/3492547.3492575,,,,,NA,,,
Srinivas Kolli,"Srinivas Kolli, Parvathala Balakesavareddy, D Saravanan",NO,Neural Network based Obfuscated Malware detection,Conference,IEEE,Y,,,2021,JULY,2021-22,https://ieeexplore.ieee.org/abstract/document/9526496,,,,,,"Obfuscated Malware,Similarity algorithm,neural network",,,
K. Anusha,"T. Nireekshan, J. Bhavani, K. Anusha, K. Sudha Rani",,MITIGATION OF CONGESTION IN DEREGULATED ELECTRICITY MARKET,Conference,"Global Web Conference on Multidisciplinary Research and Development, Organized By Sarojini Research",,,"GWCMRD - 2020 Proceedings and Development Council,",2020,Dec,2020-21,https://sarojini-research-and-development-council.ueniweb.com/,,"ISBN Number: 978-81-945642-5-6,",--,0,,NA,,,
K Radhika,"Y.Deepthi, K Pavan Kalyan, Makul Vyas, K Radhika, Dr D Kishore Babu, N V Krishna Rao",No,Disease Prediction Based on Symptoms using Machine Learning,Conference,"Energy Systems, Drives and Automations. Lecture Notes in Electrical Engineering",No,No,vol 664.,2020,,2020-21,https://link.springer.com/chapter/10.1007/978-981-15-5089-8_55,https://doi.org/10.1007/978-981-15-5089-8_55,978-981-15-5089-8,Springer,,,"Big data analytics,Machine learning algorithms,Decision tree,Random forest,Healthcare,Naive Bayes,Python",,,
Dr.D. Srinivasarao,5,Yes,AI Based Chatbot for Hospital Management System,Conference,ICAN 2022,Yes,Yes,"Vol.2,pp 1-5",2023,2,2022-23,https://ieeexplore.ieee.org/abstract/document/10007105,doi: 10.1109/ICAN56228.2022.100,978-1-6654-9944-6,"Scopus, IEEE Xplore",1,,"Chatbot,Appointments,Diagnosis,NLP,Long- Short Term Memory (LSTM),Recurrent Neural Networks (RNN)",,,https://ieeexplore.ieee.org/abstract/document/10007105
Dr. G. Suresh Reddy,2,yes,Detection of Malware in the network using machine learning Techniques,Conference,Icmacc 2022,Yes,No,"Vol 1,pp 204-211",2023,4,2022-23,https://ieeexplore.ieee.org/document/10093525,https://doi.org/10.1109/ICMACC54824.2022.10093525,978-1-6654-9604-9,"Scopus, IEEE Xplore",1,,"Malware,Phishing,Defacement,URL,LR,NB Classifier,RFA",,Active,https://ieeexplore.ieee.org/document/10093525
K. Renuka,Nileema Patil; Renuka Kondabala,Yes,Two-Layer Secure Mechanism for Electronic Transactions,Conference,IEEE,Yes,No,ISBN:978-1-6654-9605-6,2023,April,2022-23,https://ieeexplore.ieee.org/document/10093478,DOI: 10.1109/ICMACC54824.2022.10093478,ISBN:978-1-6654-9605-6,Scopus,0,,"dynamic QR Code,QR Code,e-commerce,payment QR Code,payment,encryption,decryption,payment information,order information,secure electronic transaction,secure payment,e-transaction,payment transaction,steganography",,Active,
Dr.G.Naga Chandrika,"G.Naga Chandrika, Sai Venkata Rohit Gumudavelli, Ashish Kaleru, Vijitha Kambhampati, Pragnika Kandaggattla",yes,Comparative analysis of machine learning algorithms to forecast Indian stock market,Conference,ICDSAC,no,yes,,2023,June,2022-23,,,,,,,NA,,,
Naga Chandrika G,Naga Chandrika G; Amreen Shaik; Vamsi Krishna Reddy G; Sai Sandeep V; Nikhil Teddu,Yes,Dynamic CNN: An Automatic Dynamic Model for Lung Cancer Lesion Detection,Conference,"ICECCT, 2023 Fifth International Conference on Electrical, Computer and Communication Technologies (ICECCT),",yes,No,"pp. 1-7,",2023,2,2022-23,https://ieeexplore.ieee.org/abstract/document/10179754,10.1109/ICECCT56650.2023.10179754.,,Scopus,0,,"Lung Cancer,Chest CT image,Computed Tomography,Deep Learning,Neural Network,Convolutional Neural Network",,,https://ieeexplore.ieee.org/abstract/document/10179754
Illa Pavan Kumar,"Pavan Kumar Illa, Shandeepa Ravuri, Rohit Vuppala, B Megha Reddy",Yes,Deep Learning Methods for Plant Disease Identification using Leaf Images: A Survey,Conference,2023 International Conference on Sustainable Computing and Smart Systems (ICSCSS),Yes,No,ISBN:979-8-3503-3360-2,2023,July,2022-23,https://ieeexplore.ieee.org/abstract/document/10169260,,,Scopus,,,"Deep Learning,Convolutional Neural Network,Plant Diseases,Plant Village Dataset",,,https://scholar.google.co.in/citations?user=M31kOjgAAAAJ&hl=en
Illa Pavan Kumar,"Nitin Sharma, Juan Carlos Cotrina-Aliaga, John Philip Bhimavarapu, Pavan Kumar Illa,",No,Medical Image Synthesis Workbench Supporting Multiple Modalities With Feature-Level Transforms,Conference,2023 1st International Conference on Innovations in High Speed Communication and Signal Processing (IHCSP),Yes,No,ISBN:979-8-3503-4595-7,2023,May,2022-23,https://ieeexplore.ieee.org/abstract/document/10127142,,,Scopus,,,"SSC,CCA,ICA,EMD,SIFT",,,
Illa Pavan Kumar,Rajesh Kumar; V. Naveen; Pavan Kumar Illa; Sunita Pachar; Pratap Patil,No,The Current State of Software Engineering Employing Methods Derived from Artificial Intelligence and Outstanding Challenges,Conference,2024 1st International Conference on Innovations in High Speed Communication and Signal Processing (IHCSP),Yes,No,ISBN:979-8-3503-4595-8,2023,June,2022-23,https://ieeexplore.ieee.org/abstract/document/10127112,,,Scopus,,,"AI (Artificial intelligence),ML (Machine learning),Software engineering,Deep learning,Neural networks,Pattern recognition",,,
Surapaneni Renu Deepti,4,No,Lung Cancer Detection through Deep Neural Networks Using CT Scan Images,Conference,ICCIC,Yes,No,Springer,2023,July,2022-23,https://link.springer.com/book/9789819927418,10.1007/978-981-99-2742-5_56,,,,,"Machine Learning,Neural Networks,Text analytics and NLP,Multi-Agent Learning,Bayesian Networks,Support Vector Machines,Human-Computer Interaction,Smart Cities,Data Mining,Decision support systems",,,
Srivani Yarlagadda,4,No,Lung Cancer Detection through Deep Neural Networks Using CT Scan Images,Conference,ICCIC,Yes,No,Springer,2023,July,2022-23,https://link.springer.com/book/9789819927418,10.1007/978-981-99-2742-5_56,,,,,"Machine Learning,Neural Networks,Text analytics and NLP,Multi-Agent Learning,Bayesian Networks,Support Vector Machines,Human-Computer Interaction,Smart Cities,Data Mining,Decision support systems",,,
Dr.K.Srinivas,"Srinivas Kolli,Hasan M,Bramah Hazela,A.Azhagu Jaisudhan Pazhani",NO,Secure the smart grid by machine learning,conference,2023 International Conference on Computer Communication and Informatics (ICCCI),Yes,No,Ieee Explore,2023,May,2022-23,https://ieeexplore.ieee.org/document/10128269,,,,,,"smart grid,cyberattacks,machine learning techniques",,,https://scholar.google.com/citations?user=9K8RQ70AAAAJ&hl=en
Dr.K.Srinivas,"Srinivas Kolli,M. Ranjani,P. Kavitha,D. Arul Pon Daniel",NO,Prediction of water quality parameters by IoT and machine learning,conference,2023 International Conference on Computer Communication and Informatics (ICCCI),Yes,No,Ieee Explore,2023,May,2022-23,https://ieeexplore.ieee.org/document/10128475,,,,,,"IoT,Monitoring system,K-Means,Arduino Uno",,,
Dr.K.Srinivas,"Kolli Srinivas,Dr.Aswini.J,Dr. Pramoda Patro,Dr. Devendra Kumar",NO,Functional overview of integration of AIML with 5G and beyond the network,conference,2023 International Conference on Computer Communication and Informatics (ICCCI),Yes,No,Ieee Explore,2023,May,2022-23,https://ieeexplore.ieee.org/document/10128466,,,,,,"5G,Artificial intelligence,Machine learning,Neatwork controlling system",,,
Ch.Kamala,4,No,Lung Cancer Detection through Deep Neural Networks Using CT Scan Images,Conference,ICCIC,Yes,No,Springer,2023,July,2022-23,https://link.springer.com/book/9789819927418,10.1007/978-981-99-2742-5_56,,,,,"Machine Learning,Neural Networks,Text analytics and NLP,Multi-Agent Learning,Bayesian Networks,Support Vector Machines,Human-Computer Interaction,Smart Cities,Data Mining,Decision support systems",,,
J.Sravanthi,6,No,AI-Assisted Resource Allocation in Project Management,conference,ICACITE 2023,no,No,ieee Explore,2023,may,2022-23,https://ieeexplore.ieee.org/document/10182760,DOI: 10.1109/ICACITE57410.2023.10182760,979-8-3503-9926-4,IEEE Xplore,0,"Artificial intelligence (AI) is increasingly being used in project management to improve the efficiency and effectiveness of resource allocation, scheduling, and overall project performance. AI-assisted techniques such as linear programming, genetic algorithms, and neural networks can be used to optimize the allocation of resources such as personnel and equipment to tasks and activities within a project. This can lead to improved use of resources, reduced costs, and improved project scheduling and completion times. Additionally, AI can be used in real-time, providing project managers with the ability to make quick, informed decisions about resource allocation as the project progresses. Predictive analysis can also be done to anticipate future resource needs and make adjustments accordingly. Overall, the use of AI in project management can lead to better project outcomes and increased satisfaction for stakeholders.","job shop scheduling,buildings,project management,real time systems,team work,resource management,stake holders",machine learning,active,https://scholar.google.com/citations?view_op=list_works&hl=en&hl=en&user=Ur_25LkAAAAJ
Dr N Mangathayaru,"B Mathura Bai, N Mangathayaru, B Padmaja Rani",No,An Optimized Spectral Clustering Algorithm for Better Imputation of Medical Datasets (OISSC),Conference,International Conference on Information and Communication Technology for Intelligent Systems,No,No,ICTIS 2023: IOT with Smart Systems pp 599–612,2023,April,2022-23,https://link.springer.com/chapter/10.1007/978-981-99-3761-5_53,https://doi.org/10.1007/978-981-99-3761-5_53,Online ISBN 978-981-99-3761-5,,,,"Data reduction,Instance selection,Spectral clustering,Data imputation",,,
